aa	ɑː
kielikohtainen	kie̞̯liko̞xt̪ɑi̯ne̞n
kielikukkanen	kie̞̯likukːɑne̞n
kielimakkara	kie̞̯limɑkːɑrɑ
kielimies	kie̞̯limie̞̯s̠
kielinen	kie̞̯line̞n
kieliohjelma	kie̞̯lio̞xje̞lmɑ
kieliopintarkistin	kie̞̯lio̞pint̪ɑrkis̠t̪in
kielipoliisi	kie̞̯lipo̞liːs̠i
kielipuoli	kie̞̯lipuo̞̯li
kielirele	kie̞̯lire̞le̞ʔ
kieliresurssi	kie̞̯lire̞s̠urs̠ːi
kieliryhmä	kie̞̯liryçmæ
kielitaidoton	kie̞̯lit̪ɑi̯do̞t̪o̞n
kielitaistelu	kie̞̯lit̪ɑi̯s̠t̪e̞lu
kielitaitoinen	kie̞̯lit̪ɑi̯t̪o̞i̯ne̞n
kieliteknologia	kie̞̯lit̪e̞kno̞lo̞ɡiɑ
kieliteknologinen	kie̞̯lit̪e̞kno̞lo̞ɡine̞n
kielitieteellisesti	kie̞̯lit̪ie̞̯t̪e̞ːlːis̠e̞s̠t̪iʔ
kielitoimisto	kie̞̯lit̪o̞i̯mis̠t̪o̞
kielitypologi	kie̞̯lit̪ypo̞lo̞ɡi
kielitypologia	kie̞̯lit̪ypo̞lo̞ɡiɑ
kielitypologinen	kie̞̯lit̪ypo̞lo̞ɡine̞n
kieliversio	kie̞̯liʋe̞rs̠io̞
kiellellä	kie̞̯lːe̞lːæʔ
kielletty	kielːetːyʔ
kieltomuoto	kie̞̯lt̪o̞muo̞̯t̪o̞
kieltopartisiippi	kie̞̯lt̪o̞pɑrt̪is̠iːpːi
kieltosääntö	kie̞̯lt̪o̞s̠æːn̪t̪ø̞
kieltäminen	kie̞̯lt̪æmine̞n
kieltää	kie̞̯lt̪æːʔ
kiemura	kiemurɑ
kieppeille	kie̞̯pːe̞i̯lːe̞ʔ
kieppeillä	kie̞̯pːe̞i̯lːæ
kieppeissä	kie̞̯pːe̞i̯s̠ːæ
kiepsahdella	kie̞̯ps̠ɑhde̞lːɑʔ
kieputella	kie̞̯put̪e̞lːɑʔ
kieritellä	kie̞̯rit̪e̞lːæʔ
kierosti	kie̞̯ro̞s̠t̪iʔ
kierreharja	kie̞̯rːe̞hhɑrjɑ
kierrekampa	kie̞̯rːe̞kɑmpɑ
kierrekansio	kie̞̯rːe̞kkɑns̠io̞
kierreleuka	kie̞̯rːe̞lle̞u̯kɑ
kierrenaula	kie̞̯rːe̞nnɑu̯lɑ
kierrepultti	kie̞̯rːe̞ppult̪ːi
kierreputki	kie̞̯rːe̞pput̪ki
kierretappi	kie̞̯rːe̞t̪t̪ɑpːi
kierretulkki	kie̞̯rːe̞t̪ulkːi
kierroksittain	kie̞̯rːo̞ks̠it̪ːɑi̯n
kierrostaajuus	kie̞̯rːo̞s̠t̪ɑːjuːs̠
kierrätys	kie̞̯rːæt̪ys̠
kierrätyskuitu	kie̞̯rːæt̪ys̠kui̯t̪u
kierrätyslaitos	kie̞̯rːæt̪ys̠lɑi̯t̪o̞s̠
kierteisesti	kie̞̯rt̪e̞i̯s̠e̞s̠t̪iʔ
kiertokoulu	kie̞̯rt̪o̞ko̞u̯lu
kiertokulku	kie̞̯rt̪o̞kulku
kiertokulma	kie̞̯rt̪o̞kulmɑ
kiertolaiselämä	kie̞̯rt̪o̞lɑi̯s̠e̞læmæ
kiertoliittymä	kiertoliːtːymæ
kiertonivel	kie̞̯rt̪o̞niʋe̞l
kiertonäyttely	kie̞̯rt̪o̞næy̯t̪ːe̞ly
kiertosiipipumppu	kie̞̯rt̪o̞s̠iːpipumpːu
kiertotatar	kie̞̯rt̪o̞t̪ɑt̪ɑr
kiertouuni	kie̞̯rt̪o̞uːni
kiertovesiviljely	kie̞̯rt̪o̞ʋe̞s̠iʋilje̞ly
kiertuelainen	kie̞̯rt̪ue̞lɑi̯ne̞n
kiertäjänikama	kie̞̯rt̪æjænikɑmɑ
kiertäminen	kie̞̯rt̪æmine̞n
kierukkavaihde	kie̞̯rukːɑʋɑi̯çde̞ʔ
kierähdellä	kie̞̯ræhde̞lːæʔ
kietaisuhame	kie̞̯t̪ɑi̯s̠uhɑme̞ʔ
kietaisutakki	kie̞̯t̪ɑi̯s̠ut̪ɑkːi
kievari	kie̞̯ʋɑri
kiharaan	kiɦɑrɑːn
kiharapäinen	kiɦɑrɑpæi̯ne̞n
kiharassa	kiɦɑrɑs̠ːɑ
kiherrellä	kiɦe̞rre̞lːæʔ
kihlakunnankäräjät	kiçlɑkunːɑnkæræjæt̪
kihlakunnanneuvos	kiçlɑkunːɑnne̞u̯ʋo̞s̠
kihlasilkki	kiçlɑs̠ilkːi
kihlaus	kiç̞lɑus
kihniö	kiçniø̞
kihniöläinen	kiçniø̞læi̯ne̞n
kihnutella	kiçnut̪e̞lːɑʔ
kihovauhkonen	kiɦo̞ʋɑu̯xko̞ne̞n
kihti	kiçti
kihupyhä	kiɦupyɦæ
kihveli	kiçʋe̞li
kiia	kiːɑ
kiihdyke	kiːçdyke̞ʔ
kiihdyksiin	kiːçdyks̠iːn
kiihdyksissään	kiːçdyks̠is̠ːæːn
kiihdyte	kiːçdyt̪e̞ʔ
kiihdyttää	kiːçdyt̪ːæːʔ
kiihdytysauto	kiːçdyt̪ys̠ɑu̯t̪o̞
kiihkeästi	kiːçke̞æs̠t̪iʔ
kiihkoilla	kiːçko̞i̯lːɑʔ
kiihkoisasti	kiːçko̞i̯s̠ɑs̠t̪iʔ
kiihkottomasti	kiːçko̞t̪ːo̞mɑs̠t̪iʔ
kiihottava	kiːɦo̞t̪t̪ɑʋɑ
kiihotusaine	kiːɦo̞t̪us̠ɑi̯ne̞ʔ
kiihtyvyys	kiːçt̪yʋyːs̠
kiikari	kiːkɑri
kiikissä	kiːkis̠ːæ
kiikistä	kiːkis̠t̪æ
kiikkiin	kiːkːiːn
kiikku	kiːkːu
kiikkustuoli	kiːkːus̠t̪uo̞̯li
kiikkutuoli	kiːkːut̪uo̞̯li
kiikutella	kiːkut̪e̞lːɑʔ
kiila	kiːlɑ
kiilahihna	kiːlɑhihnɑ
kiilakivi	kiːlɑkiʋi
kiilata	kiːlɑtɑˣ
kiilaura	kiːlɑurɑ
kiille	kiːlːeˣ
kiillellä	kiːlːe̞lːæʔ
kiillotusharja	kiːlːo̞t̪us̠hɑrjɑ
kiillotusjauhe	kiːlːo̞t̪us̠jɑu̯ɦe̞ʔ
kiillotuskone	kiːlːo̞t̪us̠ko̞ne̞ʔ
kiiltokuva	kiːlt̪o̞kuʋɑ
kiiltosara	kiːlt̪o̞s̠ɑrɑ
kiilua	kiːluɑʔ
kiima	kiːmɑ
kiimakierto	kiːmɑkie̞̯rt̪o̞
kiiminkijoki	kiːmiŋkijo̞ki
kiina	kiːnɑ
kiina	kiːnɑ
kiinalaismies	kiːnɑlɑi̯s̠mie̞̯s̠
kiinalaisnainen	kiːnɑlɑi̯s̠nɑi̯ne̞n
kiinannaurulokki	kiːnɑnnɑu̯rulo̞kːi
kiinihappo	kiːnihɑpːo̞
kiinnemmäs	kiːnːe̞mːæs̠
kiinnempänä	kiːnːe̞mpænæ
kiinni	kiːnːiʔ
kiinniottokortti	kiːnːio̞t̪ːo̞ko̞rt̪ːi
kiinnipito	kiːnːippit̪o̞
kiinnittää	kiːnːit̪ːæːʔ
kiinnitysaine	kiːnːit̪ys̠ɑi̯ne̞ʔ
kiinnitysluottopankki	kiːnːit̪ys̠luo̞̯t̪ːo̞pɑŋkːi
kiinnitysrauta	kiːnːit̪ys̠rɑu̯t̪ɑ
kiinnitysrengas	kiːnːit̪ys̠re̞ŋːɑs̠
kiinnityssuola	kiːnːit̪ys̠s̠uo̞̯lɑ
kiinnitystarvike	kiːnːit̪ys̠t̪ɑrʋike̞ʔ
kiinnitystulppa	kiːnːit̪ys̠t̪ulpːɑ
kiinnostavasti	kiːnːo̞s̠t̪ɑʋɑs̠t̪iʔ
kiinteistö	kiːn̪t̪e̞i̯s̠t̪ø̞
kiinteistöhallinto	kiːn̪t̪e̞i̯s̠t̪ø̞hɑlːin̪t̪o̞
kiinteistökauppa	kiːn̪t̪e̞i̯s̠t̪ø̞kɑu̯pːɑ
kiinteistöliiketoiminta	kiːn̪t̪e̞i̯s̠t̪ø̞liːke̞t̪t̪o̞i̯min̪t̪ɑ
kiinteistöneuvos	kiːn̪t̪e̞i̯s̠t̪ø̞ne̞u̯ʋo̞s̠
kiinteistönhuolto	kiːn̪t̪e̞i̯s̠t̪ø̞nhuo̞̯lt̪o̞
kiinteistönomistus	kiːn̪t̪e̞i̯s̠t̪ø̞no̞mis̠t̪us̠
kiinteistöosakeyhtiö	kiːn̪t̪e̞i̯s̠t̪ø̞o̞s̠ɑke̞ʔyçt̪iø̞
kiinteistöraja	kiːn̪t̪e̞i̯s̠t̪ø̞rɑjɑ
kiinteistöstrategia	kiːn̪t̪e̞i̯s̠t̪ø̞s̠t̪rɑt̪e̞ɡiɑ
kiinteistöyhtiö	kiːn̪t̪e̞i̯s̠t̪ø̞yçt̪iø̞
kiinteä	kiːn̪t̪e̞æ
kiinteämittainen	kiːn̪t̪e̞æmit̪ːɑi̯ne̞n
kiinteästi	kiːn̪t̪e̞æs̠t̪iʔ
kiintiö	kiːn̪t̪iø̞
kiintiöidä	kiːn̪t̪iø̞i̯dæʔ
kiintoaine	kiːn̪t̪o̞ɑi̯ne̞ʔ
kiintoavain	kiːn̪t̪o̞ɑʋɑi̯n
kiintoisa	kiːn̪t̪o̞isɑ
kiintoisasti	kiːn̪t̪o̞i̯s̠ɑs̠t̪iʔ
kiintokallio	kiːn̪t̪o̞kɑlːio̞
kiintokaluste	kiːn̪t̪o̞kɑlus̠t̪e̞ʔ
kiintokuutio	kiːn̪t̪o̞kuːt̪io̞
kiintokuutiometri	kiːn̪t̪o̞kuːt̪io̞me̞t̪ri
kiintolenkki	kiːn̪t̪o̞le̞ŋkːi
kiintolevyasema	kiːn̪t̪o̞le̞ʋyɑs̠e̞mɑ
kiintoluku	kiːn̪t̪o̞luku
kiintomitta	kiːn̪t̪o̞mit̪ːɑ
kiintonainen	kiːn̪t̪o̞nɑi̯ne̞n
kiintopallo	kiːn̪t̪o̞pɑlːo̞
kiintopenkki	kiːn̪t̪o̞pe̞ŋkːi
kiintopyörä	kiːn̪t̪o̞
kiintoside	kiːn̪t̪o̞s̠ide̞ʔ
kiintouitto	kiːn̪t̪o̞ui̯t̪ːo̞
kiipeli	kiːpeli
kiipimäelin	kiːpimæe̞lin
kiipimäjalka	kiːpimæjɑlkɑ
kiirastorstai	kiːrɑs̠t̪o̞rs̠t̪ɑi̯
kiire	kiːre̞ʔ
kiireellisesti	kiːre̞ːlːis̠e̞s̠t̪iʔ
kiireettömästi	kiːre̞ːt̪t̪ø̞mæs̠t̪iʔ
kiireimmiten	kiːre̞i̯mmit̪e̞n
kiireisesti	kiːre̞i̯s̠e̞s̠t̪iʔ
kiirekausi	kiːre̞kkɑu̯s̠i
kiiru	kiːru
kiiruhtaa	kiːruxt̪ɑːˣ
kiiruna	kiːrunɑ
kiiruusti	kiːruːs̠t̪iʔ
kiisa	kiːs̠ɑ
kiisi	kiːsi
kiistanaihe	kiːs̠t̪ɑnɑi̯ɦe̞ʔ
kiistapallo	kiːs̠t̪ɑpɑlːo̞
kiistaton	kiːstɑton
kiistämättömästi	kiːs̠t̪æmæt̪ːø̞mæs̠t̪iʔ
kiitellä	kiːt̪e̞lːæʔ
kiito	kiːt̪o̞
kiitollinen	kiːt̪o̞lline̞n
kiitollisempi	kiːt̪o̞lːis̠e̞mpi
kiitollisesti	kiːt̪o̞lːis̠e̞s̠t̪iʔ
kiitollisin	kiːt̪o̞llis̠in
kiitollisuus	kiːt̪o̞llis̠uːs̠
kiitorata	kiːtorɑtɑ
kiitos	kiːt̪o̞s̠
kiitoskortti	kiːt̪o̞s̠ko̞rt̪ːi
kiitti	kiːtːi
kiittäminen	kiːt̪ːæmine̞n
kiittämättömyys	kiːt̪ːæmæt̪ːø̞myːs̠
kiittämätön	kiːt̪ːæmæt̪ø̞n
kiittää	kiːt̪ːæːʔ
kiivailla	kiːʋɑi̯lːɑʔ
kiivas	kiːʋɑs
kiivastella	kiːʋɑs̠t̪e̞lːɑʔ
kiivi	kiːʋi
kikkailla	kikːɑi̯lːɑʔ
kilistellä	kilis̠t̪e̞lːæʔ
kiljahdella	kiljɑhde̞lːɑʔ
kilju	kilju
kilju	kiljuʔ
kiljua	kiljuɑ
kilkka	kilkːɑ
kilkula	kilkulɑ
killeri	kilːe̞ri
killillään	kilːilːæːn
killistellä	kilːis̠t̪e̞lːæʔ
killitellä	kilːit̪e̞lːæʔ
kilo	kilo̞
kilobitti	kilo̞bit̪ːi
kilohertsi	kilo̞he̞rts̠i
kiloittain	kilo̞i̯t̪ːɑi̯n
kilojoule	kilo̞jo̞u̯le̞
kilowattituntimittari	kilo̞ʋɑt̪ːit̪un̪t̪imit̪ːɑri
kilpailla	kilpɑilːɑʔ
kilpailukausi	kilpɑi̯lukɑu̯s̠i
kilpailumieli	kilpɑi̯lumie̞̯li
kilpailutalous	kilpɑi̯lut̪ɑlo̞u̯s̠
kilpakone	kilpɑko̞ne̞ʔ
kilpapyöräilijä	kilpɑpyø̞̯ræi̯lijæ
kilpapyöräily	kilpɑpyø̞̯ræi̯ly
kilparata	kilpɑrɑt̪ɑ
kilpasilla	kilpɑs̠ilːɑ
kilpasille	kilpɑs̠ilːe̞ʔ
kilpi	kilpi
kilpialue	kilpiɑlue̞ʔ
kilpiarvo	kilpiɑrʋo̞
kilpikaari	kilpikɑːri
kilpikonnanluu	kilpiko̞nːɑnluː
kilpirauhanen	kilpirɑuɦɑnen
kilpirusto	kilpirus̠t̪o̞
kilpukka	kilpukːɑ
kiltalainen	kilt̪ɑlɑi̯ne̞n
kiltti	kilt̪ːi
kilu	kilu
kilvaten	kilʋɑt̪e̞n
kilvenkannattaja	kilʋe̞nkɑnːɑt̪t̪ɑjɑ
kilvenkupura	kilʋe̞nkupurɑ
kimakasti	kimɑkɑs̠t̪iʔ
kimallella	kimɑlle̞lːɑʔ
kimalteinen	kimɑlt̪e̞i̯ne̞n
kimchi	kimt̪ʃi
kimeerinen	kime̞ːrine̞n
kimerismi	kime̞ris̠mi
kimeästi	kime̞æs̠t̪iʔ
kimi	kimi
kimmo	kimːo̞
kimmoinen	kimːo̞i̯ne̞n
kimmoisasti	kimːo̞i̯s̠ɑs̠t̪iʔ
kimmota	kimːo̞t̪ɑʔ
kimmoton	kimːo̞t̪o̞n
kimpaantua	kimpɑːn̪t̪uɑˣ
kimpiastia	kimpiɑs̠t̪iɑ
kimpilevy	kimpile̞ʋy
kimpoilla	kimpo̞i̯lːɑʔ
kimppuun	kimpːuːn
kimpsut	kimps̠ut̪
kimpussa	kimpus̠ːɑ
kina	kinɑ
kinahmi	kinɑxmi
kinahmi	kinɑxmi
kinailla	kinɑi̯lːɑʔ
kinastella	kinɑs̠t̪e̞lːɑʔ
kinesioteippi	kine̞s̠io̞t̪e̞i̯pːi
kinesteettinen	kine̞s̠t̪e̞ːt̪ːine̞n
kinkerit	kiŋke̞rit̪
kinkkumakkara	kiŋkːumɑkːɑrɑ
kinnamaatti	kinːɑmɑːt̪ːi
kinnasneula	kinːɑs̠ne̞u̯lɑ
kinner	kinːe̞r
kinnula	kinːulɑ
kinnulalainen	kinːulɑlɑi̯ne̞n
kinnunen	kinːune̞n
kinofilmi	kino̞filmi
kinos	kino̞s
kintere	kin̪t̪e̞re̞
kintereille	kin̪t̪e̞re̞i̯lːe̞ʔ
kintereillä	kin̪t̪e̞re̞i̯lːæ
kintereiltä	kin̪t̪e̞re̞i̯lt̪æ
kinuski	kinus̠ki
kinuskijäätelö	kinus̠kijæːt̪e̞lø̞
kioskikauppa	kio̞s̠kikɑu̯pːɑ
kiova	kio̞ʋɑ
kipakasti	kipɑkɑs̠t̪iʔ
kiperä	kipe̞ræ
kiperästi	kipe̞ræs̠t̪iʔ
kipinämikko	kipinæmikːo̞
kipinäsuojus	kipinæs̠uo̞̯jus̠
kipinätyöstö	kipinæt̪yø̞̯s̠t̪ø̞
kipitellä	kipit̪e̞lːæʔ
kippariaallot	kipːɑriɑːlːo̞t̪
kipparinparta	kipːɑrinpɑrt̪ɑ
kipparipaita	kipːɑripɑi̯t̪ɑ
kipparitakki	kipːɑrit̪ɑkːi
kippi	kipːi
kippiauto	kipːiɑu̯t̪o̞
kippis	kipːis̠
kippunta	kipːun̪t̪ɑ
kippuraan	kipːurɑːn
kippurahäntäinen	kipːurɑhæn̪t̪æi̯ne̞n
kippurassa	kipːurɑs̠ːɑ
kipristellä	kipris̠t̪e̞lːæʔ
kipsijauhe	kips̠ijɑu̯ɦe̞ʔ
kipsijäljennös	kips̠ijælje̞nːø̞s̠
kipsikoriste	kips̠iko̞ris̠t̪e̞ʔ
kipuaja	kipuɑjɑ
kipuilla	kipui̯lːɑʔ
kipulääke	kipulæːke̞
kipupiste	kipupis̠t̪e̞ʔ
kipuraha	kipurɑɦɑ
kirahvi	kirɑxʋi
kirahvi	kirɑxʋi
kiraliakeskus	kirɑliɑke̞s̠kus̠
kirejä	kirejæ
kireässä	kire̞æs̠ːæ
kireästi	kire̞æs̠t̪iʔ
kiri	kiri
kirien	kirien
kiriin	kiriːn
kiriksi	kiriksi
kirille	kirilːe
kirillä	kirilːæ
kiriltä	kiriltæ
kirinä	kirinæ
kirissä	kirisːæ
kiristekalvo	kiris̠t̪e̞kkɑlʋo̞
kiristellä	kiris̠t̪e̞lːæʔ
kiristysmutteri	kiris̠t̪ys̠mut̪ːe̞ri
kiristyspultti	kiris̠t̪ys̠pult̪ːi
kiristysruuvi	kiris̠t̪ys̠ruːʋi
kiristäminen	kiris̠t̪æmine̞n
kiristää	kiris̠t̪æːʔ
kirittä	kiritːæ
kiriä	kiriæˣ
kirja	kirjɑ
kirjaaja	kirjɑːjɑ
kirjahistoria	kirjɑhis̠t̪o̞riɑ
kirjailijantyö	kirjɑi̯lijɑnt̪yø̞̯
kirjaimelleen	kirjɑi̯me̞lːe̞ːn
kirjain	kirjɑi̯n
kirjainkoko	kirjɑi̯nko̞ko̞
kirjainleikkaus	kirjɑi̯nle̞i̯kːɑu̯s̠
kirjainmuoto	kirjɑi̯nmuo̞̯t̪o̞
kirjainperhe	kirjɑi̯npe̞rhe̞ʔ
kirjainpylväs	kirjɑi̯npylʋæs̠
kirjainrunko	kirjɑi̯nruŋko̞
kirjaintyyli	kirjɑi̯nt̪yːli
kirjaintyyppi	kirjɑi̯nt̪yːpːi
kirjainvälistys	kirjɑi̯nʋælis̠t̪ys̠
kirjakekasti	kirjɑke̞kkɑs̠t̪i
kirjakko	kirjɑkːo̞
kirjaliina	kirjɑliːnɑ
kirjallisuus	kirjɑllis̠uːs̠
kirjallisuusarvo	kirjɑlːis̠uːs̠ɑrʋo̞
kirjallisuuskritiikki	kirjɑlːis̠uːs̠krit̪iːkːi
kirjaltaja	kirjɑlt̪ɑjɑ
kirjamaalaus	kirjɑmɑːlɑu̯s̠
kirjamessu	kirjɑme̞s̠ːu
kirjanmerkki	kirjɑnme̞rkːi
kirjanoppinut	kirjɑno̞pːinut̪
kirjanpidollisesti	kirjɑnpido̞lːis̠e̞s̠t̪iʔ
kirjanpito	kirjɑmpito
kirjanpitokausi	kirjɑnpit̪o̞kɑu̯s̠i
kirjanpitokone	kirjɑnpit̪o̞ko̞ne̞ʔ
kirjanpitopetos	kirjɑnpit̪o̞pe̞t̪o̞s̠
kirjanpitorikos	kirjɑnpit̪o̞riko̞s̠
kirjanpitovuosi	kirjɑnpit̪o̞ʋuo̞̯s̠i
kirjanselkä	kirjɑns̠e̞lkæ
kirjansivu	kirjɑns̠iʋu
kirjapainoneuvos	kirjɑpɑi̯no̞ne̞u̯ʋo̞s̠
kirjapainotaito	kirjɑpɑi̯no̞t̪ɑi̯t̪o̞
kirjasin	kirjɑs̠in
kirjasinlaji	kirjɑs̠inlɑji
kirjasinleikkaus	kirjɑs̠inle̞i̯kːɑu̯s̠
kirjasinperhe	kirjɑs̠inpe̞rhe̞ʔ
kirjasintyyli	kirjɑs̠int̪yːli
kirjasintyyppi	kirjɑs̠int̪yːpːi
kirjastoneuvos	kirjɑs̠t̪o̞ne̞u̯ʋo̞s̠
kirjastorakennus	kirjɑs̠t̪o̞rɑke̞nːus̠
kirjataide	kirjɑt̪ɑi̯de̞ʔ
kirjatyöntekijä	kirjɑt̪yø̞̯nt̪e̞kijæ
kirjavasti	kirjɑʋɑs̠t̪iʔ
kirje	kirje̞ʔ
kirjeellisesti	kirje̞ːlːis̠e̞s̠t̪iʔ
kirjeenvaihtajapankki	kirje̞ːnʋɑi̯çt̪ɑjɑpɑŋkːi
kirjeenvaihto	kirje̞ːnʋɑi̯çt̪o̞
kirjeitse	kirje̞i̯ts̠e̞ʔ
kirjelaatikko	kirje̞lɑːt̪ikːo̞
kirjelomake	kirje̞llo̞mɑke̞ʔ
kirjeshakki	kirje̞s̠hɑkːi
kirjevaaka	kirje̞ʋʋɑːkɑ
kirjo	kirjo
kirjoa	kirjo̞ɑˣ
kirjoitelma	kirjo̞i̯t̪e̞lmɑ
kirjoittaa	kirjo̞i̯t̪ːɑːʔ
kirjoittaa	kirjo̞t̪ːɑːʔ
kirjoitteleminen	kirjo̞i̯t̪ːe̞le̞mine̞n
kirjoitusalue	kirjo̞i̯t̪us̠ɑlue̞ʔ
kirjoitusalusta	kirjo̞i̯t̪us̠ɑlus̠t̪ɑ
kirjoitusasu	kirjo̞i̯t̪us̠ɑs̠u
kirjoituslipasto	kirjo̞i̯t̪us̠lipɑs̠t̪o̞
kirjoituspää	kirjo̞i̯t̪us̠pæː
kirjoitussuojaus	kirjo̞i̯t̪us̠s̠uo̞̯jɑu̯s̠
kirjoitustapa	kirjo̞i̯t̪us̠t̪ɑpɑ
kirjoitustyyli	kirjo̞i̯t̪us̠t̪yːli
kirjokansi	kirjokɑnsi
kirjolohi	kirjo̞lo̞ɦi
kirjomaasälpä	kirjo̞mɑːs̠ælpæ
kirjoneule	kirjo̞ne̞u̯le̞ʔ
kirjosara	kirjo̞s̠ɑrɑ
kirjotähti	kirjo̞t̪æht̪i
kirkas	kirkɑs
kirkastusaine	kirkɑs̠t̪us̠ɑi̯ne̞ʔ
kirkkohäät	kirkːo̞hæːt̪
kirkkokahvit	kirkːo̞kɑxʋit̪
kirkkokunta	kirkːo̞kun̪t̪ɑ
kirkkomaa	kirkːo̞mɑː
kirkkomatka	kirkːo̞mɑt̪kɑ
kirkkomuseo	kirkːo̞mus̠e̞o̞
kirkkonummelainen	kirkːo̞numːe̞lɑi̯ne̞n
kirkkonummi	kirkːo̞numːi
kirkkopyhä	kirkːo̞pyɦæ
kirkkopäivät	kirkːo̞pæi̯ʋæt̪
kirkkorakennus	kirkːo̞rɑke̞nːus̠
kirkkorauha	kirkːo̞rɑu̯ɦɑ
kirkkoreki	kirkːo̞re̞ki
kirkkosali	kirkːo̞s̠ɑli
kirkkosilkki	kirkːo̞s̠ilkːi
kirkkotalli	kirkːo̞t̪ɑlːi
kirkkotarha	kirkːo̞t̪ɑrhɑ
kirkkotekstiili	kirkːo̞t̪e̞ks̠t̪iːli
kirkkotupa	kirkːo̞t̪upɑ
kirkkourut	kirkːo̞urut̪
kirkkovakka	kirkːo̞ʋɑkːɑ
kirkkoviini	kirkːo̞ʋiːni
kirkollisesti	kirko̞lːis̠e̞s̠t̪iʔ
kirkollishallitus	kirko̞lːis̠hɑlːit̪us̠
kirkollisvaalit	kirko̞lːis̠ʋɑːlit̪
kirkonaika	kirko̞nɑi̯kɑ
kirkonarkisto	kirko̞nɑrkis̠t̪o̞
kirkonkymmenykset	kirko̞nkymːe̞nyks̠e̞t̪
kirkonpaikka	kirko̞npɑi̯kːɑ
kirkonpenkki	kirko̞npe̞ŋkːi
kirkua	kirkuɑʔ
kirnu	kirnu
kirotusti	kiro̞t̪us̠t̪iʔ
kirous	kirous
kirpeästi	kirpe̞æs̠t̪iʔ
kirppu	kirpːu
kirppusara	kirpːus̠ɑrɑ
kirpputori	kirpːut̪o̞ri
kirpsakka	kirps̠ɑkːɑ
kirsi	kirsi
kirsi	kirsi
kirsikkapiirakka	kirs̠ikːɑpiːrɑkːɑ
kirsti	kirsti
kirsu	kirs̠u
kirurgi	kirurɡi
kirveenhamara	kirʋe̞ːnhɑmɑrɑ
kirveenisku	kirʋe̞ːnis̠ku
kirveenkanta	kirʋe̞ːnkɑn̪t̪ɑ
kirveenterä	kirʋe̞ːnt̪e̞ræ
kirveenvarsi	kirʋe̞ːnʋɑrs̠i
kirves	kirʋe̞s̠
kirvesahven	kirʋe̞s̠ɑxʋe̞n
kirveshamara	kirʋe̞s̠hɑmɑrɑ
kirveslinja	kirʋe̞s̠linjɑ
kirvesmiehenkynä	kirʋe̞s̠mie̞̯ɦe̞nkynæ
kirvespohja	kirʋe̞s̠po̞xjɑ
kirvesvarsi	kirʋe̞s̠ʋɑrs̠i
kisajoukkue	kis̠ɑjo̞u̯kːue̞ʔ
kisakaupunki	kis̠ɑkɑu̯puŋki
kisakylä	kis̠ɑkylæ
kisatyttö	kis̠ɑt̪yt̪ːø̞
kiskoauto	kis̠ko̞ɑu̯t̪o̞
kiskoliikenne	kis̠ko̞liːke̞nːe̞ʔ
kiskonaula	kis̠ko̞nɑu̯lɑ
kiskotella	kis̠ko̞t̪e̞lːɑʔ
kissa	kis̠ːɑ
kissankuppi	kis̠ːɑnkupːi
kissanlillukka	kis̠ːɑnlilːukːɑ
kissanluukku	kis̠ːɑnluːkːu
kissanmaito	kis̠ːɑnmɑi̯t̪o̞
kissanpenikka	kis̠ːɑnpe̞nikːɑ
kissanpoika	kis̠ːɑnpo̞i̯kɑ
kissanpoikanen	kis̠ːɑnpo̞i̯kɑne̞n
kissapeto	kis̠ːɑpe̞t̪o̞
kissatappelu	kis̠ːɑt̪ɑpːe̞lu
kisu	kis̠u
kisällinkirja	kis̠ælːinkirjɑ
kita	kit̪ɑ
kitara	kit̪ɑrɑ
kitarisa	kitɑrisɑ
kitata	kit̪ɑt̪ɑʔ
kitee	kit̪e̞ː
kiteeläinen	kit̪e̞ːlæi̯ne̞n
kitiinipanssari	kit̪iːnipɑns̠ːɑri
kitkamaa	kit̪kɑmɑː
kitkamaalaji	kit̪kɑmɑːlɑji
kitkattomasti	kit̪kɑt̪ːo̞mɑs̠t̪iʔ
kitkerästi	kit̪ke̞ræs̠t̪iʔ
kitku	kit̪ku
kitkutella	kit̪kut̪e̞lːɑʔ
kitsaasti	kits̠ɑːs̠t̪iʔ
kitsas	kits̠ɑs̠
kitsastella	kits̠ɑs̠t̪e̞lːɑʔ
kitsi	kitsi
kittilä	kit̪ːilæ
kittiläinen	kit̪ːilæi̯ne̞n
kittiläläinen	kit̪ːilælæi̯ne̞n
kitua	kituɑʔ
kitumänty	kit̪umæn̪t̪y
kituset	kit̪us̠e̞t̪
kiuas	kiu̯ɑs̠
kiukkuilla	kiu̯kːui̯lːɑʔ
kiukkuisesti	kiu̯kːui̯s̠e̞s̠t̪iʔ
kiukkupussi	kiu̯kːupus̠ːi
kiukkuririihi	kiu̯kːuririːɦi
kiukua	kiu̯kuɑ
kiukuissaan	kiu̯kui̯s̠ːɑːn
kiukuva	kiu̯kuʋɑ
kiuruvesi	kiu̯ruʋe̞s̠i
kiuruveteläinen	kiu̯ruʋe̞t̪e̞læi̯ne̞n
kiuruvetinen	kiu̯ruʋe̞t̪ine̞n
kiusaannuttaa	kiu̯s̠ɑːnnut̪ːɑːʔ
kiusallisesti	kiu̯s̠ɑlːis̠e̞s̠t̪iʔ
kiva	kiʋɑ
kivakurkku	kiʋɑkurkːu
